roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
20.67,22.78,Global Large-Cap Blend Equity,4,3,290.32,11.52,2.32,4.78,4.36,0.21,1589,0.31,955010000
10.4,26.98,Sector Equity Infrastructure,2,4,229.94,4.95,4.74,5.56,-1.02,1.2,30,0.74,41640000
14.54,22.2,Europe Large-Cap Blend Equity,3,2,302.09,8.67,3.11,-1.92,1.07,0,195,0.31052,32549999
28.57,23.23,US Large-Cap Blend Equity,3,3,314.59,13.61,2.46,13.87,6.41,0,399,0.45,86600000
14.61,21.67,Europe Large-Cap Blend Equity,4,3,273.09,9.27,2.81,-1.95,1.07,0,464,0.2,267990000
8.16,20.56,Germany Equity,3,3,296.38,6.63,2.86,-8.8,-0.64,0,30,0.08,907320000
9.97,19.99,Eurozone Large-Cap Equity,2,5,227.8,5.12,5.78,3.51,0.7,0.05,30,0.25,6.20E+07
-1.58,29.35,US Small-Cap Equity,3,3,28.74,7.62,1.67,2.66,3.56,0,1523,0.45667,25340000
4.34,20.24,Spain Equity,3,4,259.03,5.88,5.11,-4.22,0.39,0,9,0.25,42630000
12.63,24.22,UK Large-Cap Equity,2,2,271.07,7.49,4.18,-6.14,1.66,0,29,0.25,24700000
8.88,20.2,France Equity,4,3,286.34,8.98,2.18,6.67,0.92,0,82,0.25,71240000
16.04,55.91,Germany Equity,4,2,291.11,3.14,2.93,11.67,-0.09,0,1381,0.1,174570000
13.11,26.6,China Equity,3,3,411.55,12.12,2.37,11.75,11.81,0.07,51,0.61,91800000
8.97,22.92,Japan Large-Cap Equity,5,3,288.1,10.02,2.06,1.35,3.58,0.62,225,0.51,17771640000
13.04,26.12,US Large-Cap Value Equity,3,2,184.88,6.07,5.41,2.45,3.73,0.4,100,0.31,285440000
28.34,23.23,US Large-Cap Blend Equity,3,3,313.94,13.58,2.45,13.85,6.4,0.22,30,0.51,240230000
11.27,23.05,Europe Small-Cap Equity,3,3,114.11,7.11,2.46,-2.07,-0.28,0,493,0.35198,629290000
13.38,20.79,Europe Mid-Cap Equity,3,2,196.59,9.15,2.21,1.95,1.43,0,239,0.25783,41890000
31.39,21.88,US Large-Cap Growth Equity,5,4,351.5,16.55,0.89,10,11.54,0.11,103,0.31,2448920000
12.3,24.07,Australia & New Zealand Equity,4,3,272.53,9.59,4.49,-8.36,0.35,0,201,0.51274,94980000
21.02,22.78,Global Large-Cap Blend Equity,5,3,291.88,11.7,2.27,4.5,4.15,0,970,0.2,2629340000
9.51,23.73,Asia-Pacific Equity,4,2,292.62,8.62,3.3,-4.78,3.11,0,384,0.45,224460000
14.79,21.91,Europe Large-Cap Blend Equity,3,3,281.78,8.93,2.88,-0.25,1.39,0,326,0.25,12360000
24.75,22.86,US Large-Cap Blend Equity,4,3,294.69,13.34,1.95,10.81,6.86,0,607,0.25,118570000
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,450,0.1,40200000
11.24,25.32,US Mid-Cap Equity,3,4,90.85,10.34,1.9,7.17,6.57,0,454,0.35,16930000
5.76,28.17,US Small-Cap Equity,3,3,16.95,7.13,1.99,0.11,4.5,0,1453,0.35,71670000
20.69,21.59,Switzerland Equity,2,4,294.63,15.39,3.02,6.06,0.85,-0.01,34,0.25,59940000
6.16,23.85,Austria Equity,3,3,148.91,5.48,2.15,7.08,4.13,0.11,20,0.25,9860000
11.47,23.2,Europe Small-Cap Equity,3,3,113.35,7.52,2.35,-4.12,-3.27,0.02,703,0.35,58330000
13.8,20.79,Europe Mid-Cap Equity,3,2,197.49,9.38,2.15,3.14,1.85,0,202,0.35,20180000
11.02,23.23,Pacific ex-Japan Equity,3,3,306.21,9.25,4.67,-6.94,1.21,0,132,0.45657,570160000
14.72,25.84,Asia ex-Japan Equity,3,3,365.53,9.35,2.58,3.82,8.21,0,599,0.65,583650000
