roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
14.12,27.48,Global Emerging Markets Equity,3,3,320.6,7.78,3.05,1.02,5.95,0.32,2648,0.18,16134700000
21.02,22.78,Global Large-Cap Blend Equity,4,3,291.88,11.7,2.27,4.5,4.15,0,1104,0.45,52110000
28.57,23.23,US Large-Cap Blend Equity,3,3,314.59,13.61,2.46,13.87,6.41,0,387,0.5,43490000
25.38,22.79,US Large-Cap Blend Equity,4,3,295.42,13.51,1.87,10.74,6.92,0,594,0.3,7880000
31.24,21.88,US Large-Cap Growth Equity,5,4,352.03,16.58,0.88,10.01,11.54,0,109,0.3,88300000
26.87,22.54,US Large-Cap Blend Equity,4,2,301.04,13.13,1.95,11.26,6.92,0,524,0.15,50140000
26.73,23.68,US Large-Cap Value Equity,4,1,269.01,9.64,3.84,5.28,5.09,0.25,136,0.35,296920000
14.16,23.65,Sector Equity Consumer Goods & Services,4,3,324.99,11.82,1.94,2.85,6,0.35,410,0.6,52770000
14.55,25.58,Asia-Pacific ex-Japan Equity,3,2,355.98,9.44,2.9,3.16,7.86,0,327,0.6,27270000
6.61,28.22,Korea Equity,3,3,347.82,5.26,2.17,-15.74,4.29,0,102,0.45,6190000
12.35,26.46,South Africa & Namibia Equity,2,4,221.52,3.84,3.5,-5.97,3.51,0,25,0.45,9860000
23.88,22.43,Global Large-Cap Blend Equity,3,3,275.41,10.08,2.31,9.56,3.9,0.01,365,0.25,1016440000
-1.56,29.31,US Small-Cap Equity,3,3,29.03,7.61,1.68,2.68,3.71,0.28,1654,0.3,878090000
13.38,23.56,US Large-Cap Value Equity,3,3,238.75,9.68,2.86,9.63,6.08,0,445,0.19,8610000
33.58,22.06,US Large-Cap Growth Equity,4,3,326.4,18.8,0.94,16,11.7,0,366,0.19,251010000
13.33,25.25,Global Emerging Markets Equity,2,3,289.95,8.05,3.16,0.53,7.36,0.5,193,0.27,752430000
7.49,24.86,Global Equity Income,1,5,183.14,4.09,7.64,-4.08,2.44,-0.2,96,0.35,44980000
8.66,20.2,France Equity,5,3,286.03,8.91,2.24,4.16,0.83,0.35,76,0.25,40710000
13.14,24.61,Global Large-Cap Value Equity,3,3,259.79,6.63,3.52,-1.47,1.94,-0.26,1119,0.39,25800000
17.43,33.34,China Equity - A Shares,1,4,310.77,12.03,1.87,9.24,10.72,0,475,0.424,38380000
7.98,23.67,Europe Large-Cap Value Equity,3,3,261.6,5.5,3.73,-5.63,-0.37,0.06,487,0.39,6600000
17.96,23.88,US Large-Cap Value Equity,4,3,245.26,8.21,3,4.13,4.77,0,993,0.39,190240000
20.16,22.67,Global Large-Cap Blend Equity,4,1,254.8,10.03,2.61,8.52,3.29,0,298,0.27083,587680000
25.76,22.63,Global Large-Cap Growth Equity,5,3,315.6,16.3,1.17,12.77,8.38,0,345,0.25348,380950000
30.79,21.75,Global Large-Cap Blend Equity,5,2,299.11,14.39,2.25,9.04,5.99,0,296,0.2534,330460000
8.02,24.55,Global Large-Cap Value Equity,3,3,253.87,4.76,3.84,-4.14,3.63,0,394,0.26589,246410000
8.75,23.96,Japan Large-Cap Equity,3,2,286.08,8.4,2.75,-3.99,3.52,0.37,320,0.23,2.71E+11
10.83,23.22,Pacific ex-Japan Equity,3,3,305.97,9.25,4.73,-6.93,1.2,0.58,132,0.3,127440000
15.04,21.27,Europe ex-UK Equity,3,2,261.54,7.14,3.57,1.02,0.72,0,462,0.12,1300620000
25.23,22.74,US Large-Cap Blend Equity,4,3,298.86,12.23,1.9,11.51,7.09,0,635,0.1,1354300000
11.85,22.79,UK Mid-Cap Equity,4,2,105.22,6.25,4.54,-9.68,2.45,0.12,180,0.1,1555760000
20.86,22.84,Global Large-Cap Blend Equity,4,3,288.01,9.23,2.5,4.62,4.21,0,2159,0.14,847530000
10.35,21.8,UK Large-Cap Equity,4,2,227.11,7.35,3.78,-3.9,-0.9,2.33,144,0.28,355960000
10.7,21.77,Europe Large-Cap Blend Equity,3,3,287.1,7.15,2.95,-6.48,-0.27,0,101,0.2,39560000
25.83,22.64,Global Large-Cap Growth Equity,5,3,315.63,16.24,1.19,12.73,8.36,0.12,349,0.3,2192450000
30.65,21.75,Global Large-Cap Blend Equity,5,2,298.41,14.38,2.26,9.04,5.98,0.37,297,0.3,1513300000
7.73,24.53,Global Large-Cap Value Equity,2,3,253.38,4.73,3.83,-4.15,3.61,0.99,394,0.3,2150460000
8.63,23.87,Global Flex-Cap Equity,3,3,175.68,8.92,2.48,0.39,2.93,0.3,897,0.3,788430000
12.34,24.31,Sector Equity Technology,2,4,162.07,18.57,1.04,-3.79,4.4,0.12,87,0.79995,1065020000
15.62,24.49,Europe Small-Cap Equity,2,4,54.21,4.94,4.35,-1.18,4.93,0,158,0.38,30930000
21.23,24.76,US Large-Cap Value Equity,2,2,239.46,7.93,5.52,0.81,3.13,0,292,0.29,46380000
11.95,24.58,Europe Equity Income,3,4,247.97,4.71,6.22,-4.12,-1.86,0,171,0.29,25230000
31.32,21.88,US Large-Cap Growth Equity,5,4,351.15,16.48,0.89,10.01,11.54,0.1,103,0.3,5240700000
12.59,29.15,Global Emerging Markets Equity,2,4,326.17,5.22,5.21,3.7,6.27,0.31,306,0.49,33060000
4.9,25.99,UK Large-Cap Equity,1,3,258.86,4.76,5.1,-6.61,1.63,0.08,101,0.39,8090000
20.87,22.95,Global Large-Cap Blend Equity,3,4,254.16,7.47,3.18,7.97,6.72,-0.25,287,0.39,27540000
-2.04,28.21,Sector Equity Biotechnology,3,3,167.13,10.48,0.69,12.61,7.15,0,189,0.4,626910000
17.26,30.62,Global Emerging Markets Equity,2,3,247.04,4.57,9.47,9.02,5.85,0,489,0.46,40250000
15.96,29.12,Global Emerging Markets Small/Mid-Cap Equity,4,3,110.55,4.47,6.28,5.65,3.43,0,955,0.54,25190000
7.78,21.86,Sector Equity Financial Services,3,3,251.22,2.32,2.81,1.12,-3.27,0.76,79,0.3,687230000
26.34,24.88,Sector Equity Healthcare,2,2,320.62,13.02,2.77,1.35,3.71,0.22,40,0.3,422800000
13.08,23.57,Sector Equity Utilities,3,4,268.09,6.84,4.49,-12.19,-10.19,0.84,24,0.3,43990000
10.54,17.26,Sector Equity Communications,2,4,238.44,3.11,4.15,-0.52,-0.63,0.46,34,0.3,2.00E+07
18.33,23.49,Sector Equity Consumer Goods & Services,3,2,324.34,12.03,3.08,-5.47,2.32,1.37,39,0.3,578930000
9.71,18.15,Sector Equity Consumer Goods & Services,2,5,282.51,9.93,1.02,-5.32,4.17,0.11,53,0.3,67730000
17.59,21.46,Sector Equity Industrial Materials,3,3,252.69,10.89,1.81,7.4,4.72,0.08,79,0.3,371860000
-7.26,31.57,Sector Equity Energy,4,2,288.61,4.12,9.12,11.92,5.6,1.96,13,0.3,65080000
17.45,14.48,Sector Equity Technology,2,3,290.72,13.85,1.16,2.09,5.98,0.07,22,0.3,58630000
11.36,23.21,Europe Small-Cap Equity,3,3,113.52,7.54,2.36,-4.07,-2.75,0.1,902,0.3,124570000
14.75,21.91,Europe Large-Cap Blend Equity,4,2,281.85,8.94,2.89,-1.26,1.17,0.16,437,0.25,445960000
11.58,24.1,Sector Equity Industrial Materials,3,4,253.93,7.31,3.92,-0.94,2.91,0.04,40,0.3,34750000
9.71,18.15,Sector Equity Consumer Goods & Services,2,5,282.51,9.93,1.02,-5.32,4.17,0.11,53,0.3,66739999
17.59,21.46,Sector Equity Industrial Materials,3,3,252.69,10.89,1.81,7.4,4.72,0.08,79,0.3,367690000
-7.26,31.57,Sector Equity Energy,4,2,288.61,4.12,9.12,11.92,5.6,1.96,13,0.3,61910000
17.45,14.48,Sector Equity Technology,2,3,290.72,13.85,1.16,2.09,5.98,0.07,22,0.3,58200000
11.36,23.21,Europe Small-Cap Equity,3,3,113.52,7.54,2.36,-4.07,-2.75,0.1,902,0.3,122070000
14.75,21.91,Europe Large-Cap Blend Equity,4,2,281.85,8.94,2.89,-1.26,1.17,0.16,437,0.25,440710000
14.62,26.98,Global Emerging Markets Equity,3,3,346.08,8.21,3.05,2.77,7.24,0,1034,0.20289,3384630000
10.76,21.93,Eurozone Flex-Cap Equity,4,4,195.19,6.07,1.95,4.57,-0.36,0.51,150,0.65,128240000
10.96,21,Europe Mid-Cap Equity,2,2,186.77,7.63,2.52,0.89,1.85,0.67,239,0.25,27450000
5.39,24.52,Europe Large-Cap Value Equity,3,4,263.59,4.75,3.69,-5.11,1.1,0.52,147,0.25,883650000
24.81,20.06,Europe Large-Cap Blend Equity,5,1,289.64,12.29,3.25,3.97,2.72,0.67,123,0.25,131690000
19.95,20.68,Europe Large-Cap Growth Equity,4,2,286.12,15.61,1.9,2.05,-2.03,0.14,125,0.25,416550000
4.61,24.54,US Large-Cap Blend Equity,1,5,89.17,5.02,2.82,10.11,6.18,0.14,130,0.55,6880000
18.78,23.11,Europe Large-Cap Blend Equity,4,1,286.58,9.87,3.31,-1.46,1.89,0,186,0.30606,33940000
5.18,23.59,Europe Small-Cap Equity,1,4,100.46,4.42,3.05,-9.36,-7.09,1,758,0.3,23250000
9.99,24.04,Europe Large-Cap Value Equity,3,3,263.98,4.98,3.87,-1.66,0.87,0.1,123,0.2,3080000
0.54,26.62,US Small-Cap Equity,1,5,46.24,4.31,3.01,-0.65,2.62,0.11,1449,0.3,55900000
18.46,22.47,US Large-Cap Value Equity,3,4,231.51,6.52,3.32,0.81,7,0.05,124,0.2,110690000
8.74,22.83,Italy Equity,2,3,246.98,5.63,3.2,-3.06,0.46,0,77,0.25,1840000
4.34,20.24,Spain Equity,3,4,259.03,5.88,5.11,-4.22,0.39,0,9,0.25,2750000
21.12,20.75,Global Large-Cap Blend Equity,4,2,311.04,11.15,2.64,4.15,4.51,0.48,522,0.6,354010000
10.21,33.25,Sector Equity Precious Metals,4,3,211.15,9.53,1.12,46.18,-0.07,0.08,52,0.53,771520000
3.08,41.4,Sector Equity Precious Metals,3,4,144.27,7.37,0.68,10.99,-0.58,1.39,80,0.55,374080000
17.27,33.35,China Equity - A Shares,2,3,311.04,11.81,1.9,9.39,10.56,0.07,475,0.4,1727240000
8.93,24.11,Japan Large-Cap Equity,3,2,276.38,8.56,2.69,-4.51,4.12,0.38,395,0.21768,22603940000
10.85,19.25,Eurozone Large-Cap Equity,3,3,309.52,9.49,2.95,-4.15,2.34,0,50,0.15247,24620000
12.35,23.64,US Large-Cap Value Equity,2,3,187.03,6.37,6.06,6.5,0.97,-4.95,49,0.3,79870000
8.71,22.9,Singapore Equity,3,5,279.35,8.43,5.56,3.2,2.05,0.75,21,0.46,81840000
11.04,23.23,Pacific ex-Japan Equity,3,4,306.25,9.25,4.67,-6.55,1.79,0,89,0.12,15100000
15.94,23.76,US Large-Cap Blend Equity,2,4,204.12,10.26,2.16,8.48,5.81,0.06,375,0.65,88240000
10.17,33.25,Sector Equity Precious Metals,4,3,210.86,9.52,1.12,46.18,-0.07,0.08,52,0.53,769370000
16.03,21.35,Europe Flex-Cap Equity,4,1,214.49,8.73,2.82,1.6,0.79,0,368,0.2,16579999
10.58,26.33,Japan Large-Cap Equity,1,3,223.53,8.25,2.72,2.68,5.48,-0.02,99,0.7,120740000
25.96,20.1,Sector Equity Consumer Goods & Services,5,4,289.65,17.07,1.31,6.87,6.93,0.01,61,0.15,119640000
30.06,24.85,Sector Equity Consumer Goods & Services,4,2,279.96,14.26,2.94,2.81,4.74,0.22,32,0.15,344780000
-10.28,33.63,Sector Equity Energy,2,4,216.02,5.06,8.47,8.29,4.08,0.09,25,0.15,65440000
13.51,21.42,Sector Equity Financial Services,4,3,263.39,4.552,3.08,24.97,7.5,0.11,65,0.15,230480000
26.25,26.01,Sector Equity Healthcare,4,3,274.37,12.96,1.89,19.53,10.71,0.22,63,0.15,182840000
27.1,27.28,Sector Equity Industrial Materials,4,3,224.87,12.47,2,9.8,6.24,0.1,73,0.15,220910000
10.09,24.36,Sector Equity Industrial Materials,4,3,219.89,12.94,1.93,-3.35,3.24,0.21,28,0.15,15740000
43.05,18.28,Sector Equity Technology,5,3,350.67,16.28,1.26,13.17,7.63,0.13,73,0.15,283400000
9.93,31.16,Sector Equity Utilities,5,3,218.3,8.1,3.48,6.77,-1.03,0.13,28,0.15,43410000
-10.28,33.63,Sector Equity Energy,2,4,216.02,5.06,8.47,8.29,4.08,0.09,25,0.15,69700000
6.54,21.65,Hong Kong Equity,2,4,330.72,7.67,4.09,-8.58,4.95,0.63,40,0.45,244850000
16.65,23.62,US Large-Cap Blend Equity,5,3,255.95,11.26,2.02,10.23,5.96,0,277,1.07015,1909770000
16.65,23.62,US Large-Cap Blend Equity,5,3,255.95,11.26,2.02,10.23,5.96,0,282,1.04702,1909770000
10.5,22.24,Japan Large-Cap Equity,4,2,288.56,9.42,2.5,-4.41,2.47,0.19,70,0.22,66715310000
10.87,19.95,Eurozone Large-Cap Equity,3,3,297.04,8.27,3.78,-2.61,2.51,0.78,50,0.18,529539999
10.87,19.95,Eurozone Large-Cap Equity,3,3,297.04,8.27,3.78,-2.61,2.51,0.78,50,0.18,528940000
11.76,17.88,Eurozone Large-Cap Equity,2,5,288.54,11.2,2.14,0.33,0.45,0,30,0.40995,69080000
-5.57,25.18,US Large-Cap Blend Equity,5,5,212.47,15.84,0.32,-3.82,4.04,0.22,100,0.65,11560000
38.14,20.55,US Large-Cap Blend Equity,5,2,306.96,15.78,1.66,17.96,8.42,0.28,125,0.25,294610000
12.53,19.19,Eurozone Large-Cap Equity,4,1,244.78,8.31,3.12,0.85,2.53,0.37,93,0.3,74530000
6.69,22,Eurozone Large-Cap Equity,4,4,260.76,5.75,4.06,2.26,3.6,0.29,61,0.31,144030000
18.13,17.74,Eurozone Large-Cap Equity,5,2,290.96,16.32,1.73,6.34,4.95,0.24,59,0.29,221920000
13.83,24.9,Global Equity Income,2,4,282.18,4.47,5.69,7.63,7.86,0.28,284,0.6,22510000
23.79,21.28,US Large-Cap Blend Equity,2,3,214.87,9.23,1.84,9.15,6.76,0.38,142,0.35,101150000
22.13,21.07,Europe Large-Cap Blend Equity,4,4,234.56,7.57,2.74,7.9,-0.04,0.59,83,0.45,144970000
21.58,21.96,Global Large-Cap Blend Equity,3,3,221.9,8.6,2.19,7,4.63,0.45,316,0.5,425830000
11.44,20.46,Europe Large-Cap Blend Equity,4,4,225.63,6.66,4.08,3.05,2.94,0,180,0.3,37780000
6.74,22.52,Europe Equity Income,3,4,233.75,4.45,6.69,-4.8,1.87,0,50,0.30354,356710000
22.31,23.32,US Large-Cap Blend Equity,3,1,222.02,13.48,2.14,10.34,5.02,0.26,216,0.25,122460000
16.92,22.04,US Large-Cap Blend Equity,2,4,234.06,8.46,3.27,5.84,7.41,0.3,152,0.25,371400000
38.14,20.55,US Large-Cap Blend Equity,5,2,306.96,15.78,1.66,17.96,8.42,0.28,125,0.25,298680000
1.78,21.79,Sector Equity Technology,2,4,111.74,11.1,0.79,11.49,4.36,0.18,55,0.75027,1895070000
16.22,24.73,UK Equity Income,2,4,209.26,7.11,4.72,-5.34,-5.23,0,76,0.29,6830000
12.53,19.19,Eurozone Large-Cap Equity,4,1,244.78,8.31,3.12,0.85,2.53,0.37,93,0.3,74650000
6.69,22,Eurozone Large-Cap Equity,4,4,260.76,5.75,4.06,2.26,3.6,0.29,61,0.31,151380000
18.13,17.74,Eurozone Large-Cap Equity,5,2,290.96,16.32,1.73,6.34,4.95,0.24,59,0.29,221800000
12.27,21.41,Spain Equity,3,4,249.01,6.87,4.33,10.92,0.77,-4.64,36,0.4404,135510000
9.97,31.02,Global Emerging Markets Small/Mid-Cap Equity,3,3,109.02,5.5,3.29,14.67,-0.33,0.53,1503,0.55,98530000
11.16,21.59,Eurozone Flex-Cap Equity,3,3,242.27,8.96,4.49,4.54,3.63,0.65,41,0.3,1207050000
17.26,21.21,UK Equity Income,3,4,192.55,11.41,4.63,-8.69,7.54,0.12,34,0.3,97930000
17.14,26.56,US Large-Cap Value Equity,4,2,169.68,10.06,3.62,4.25,5.08,0.23,117,0.35,2278840000
8.44,25.06,Japan Large-Cap Equity,3,2,256.13,8.11,2.69,-4.35,3.47,0,2170,0.45,865440000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,900,0.55,1083510000
26.87,22.54,US Large-Cap Blend Equity,5,2,301.04,13.13,1.95,11.26,6.92,0,327,0.15,8695340000
-6.61,32.2,Sector Equity Energy,3,3,253.28,5.12,8.59,4.6,4.3,0,103,0.3,63700000
28.57,23.23,US Large-Cap Blend Equity,3,2,314.59,13.61,2.46,13.87,6.41,0,288,0.5,202950000
9.83,22.56,Italy Equity,3,4,237.39,6.06,2.85,-1.58,0.22,0,37,0.35,343170000
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,415,0.25,876420000
14.92,21.91,Europe Large-Cap Blend Equity,4,2,264.04,6.82,4.06,0.82,1.37,0.02,301,0.25,1253010000
3.74,20.25,Spain Equity,3,4,247.01,6.79,4.65,-1.54,1.08,0,35,0.3,272800000
21.02,22.78,Global Large-Cap Blend Equity,5,3,291.88,11.7,2.27,4.5,4.15,0,946,0.3,3912260000
19.92,21.5,Switzerland Equity,3,5,287.87,14.58,3.33,6.81,1.39,-0.01,30,0.21,574760000
22.6,22.44,Switzerland Equity,3,3,327.91,14.8,3.23,6.24,1.25,0.02,20,0.21,1978340000
15.55,22.57,Switzerland Small/Mid-Cap Equity,3,4,197.35,13.05,3.32,13.71,3.59,-0.12,29,0.25467,848530000
21.87,23.28,Switzerland Equity,3,3,305.61,14.56,3.14,8.05,-0.22,0.03,193,0.15756,774160000
13.4,23.54,Switzerland Small/Mid-Cap Equity,3,3,174.01,12.48,3.11,10.41,-9.25,-0.08,79,0.25552,178250000
7.49,24.86,Global Equity Income,1,5,183.14,4.09,7.64,-4.08,2.44,-0.2,96,0.35,45450000
15.09,27.12,Global Emerging Markets Equity,3,2,349.48,8.53,2.89,4.98,8.28,0,824,0.45,623960000
25.14,22.78,US Large-Cap Blend Equity,4,3,293.75,13.35,1.91,10.83,7.01,0.17,617,0.14,2777910000
25.38,22.79,US Large-Cap Blend Equity,4,3,295.42,13.51,1.87,10.74,6.92,0,628,0.15,856140000
16.92,23.78,US Large-Cap Value Equity,3,2,254.25,9.43,3.3,7.94,5.49,3.23,411,0.2,525820000
20.69,22.75,Global Large-Cap Blend Equity,4,3,290.48,11.52,2.33,4.97,4.4,0.64,1579,0.31,176560000
26.51,22.54,US Large-Cap Blend Equity,4,2,299.21,12.98,2,11.24,6.92,0.33,504,0.12,529090000
26.87,22.54,US Large-Cap Blend Equity,4,2,301.04,13.13,1.95,11.26,6.92,0,514,0.19,147080000
12.44,38.11,Sector Equity Precious Metals,3,4,182.26,6.47,1.16,31.45,2.22,-0.07,23,0.44,104350000
10.42,19.95,Eurozone Large-Cap Equity,3,4,312.2,9.09,2.76,-2.63,2.51,1.12,50,0.16,368780000
12.18,24.06,UK Large-Cap Equity,3,2,266.9,7.47,4.1,-6.68,1.83,0.54,100,0.21,63930000
11.47,24.19,Canada Equity,3,3,278.68,9.59,3.8,12.47,6.86,0.33,83,0.48,2842770000
14.72,27.06,Global Emerging Markets Equity,4,3,344.32,8.25,3.02,2.77,7.14,0.54,1201,0.23,4083280000
13.33,25.25,Global Emerging Markets Equity,2,3,289.95,8.05,3.16,0.53,7.36,0.5,193,0.27,754700000
10.04,20.73,Eurozone Large-Cap Equity,4,3,275.97,7.89,2.6,-1.07,0.7,0.7,248,0.2,3897100000
10.51,23.32,Eurozone Small-Cap Equity,3,3,109.38,6.11,2.65,-2.75,-4.78,-0.03,428,0.45,86910000
6.17,23.02,Eurozone Large-Cap Equity,2,5,264.48,5,3.77,-3.2,0.1,-0.03,153,0.27,50790000
14.19,21.91,Europe Large-Cap Blend Equity,4,3,280.7,8.72,2.94,-1.24,1.15,0.01,438,0.22,418960000
8.75,23.96,Japan Large-Cap Equity,3,2,286.08,8.4,2.75,-3.99,3.52,0.37,320,0.22,2.67E+11
24.07,19.99,US Large-Cap Blend Equity,5,2,268.5,15.46,1.82,10.19,8.67,0.35,142,0.22,1685090000
10.83,23.22,Pacific ex-Japan Equity,3,3,305.97,9.25,4.73,-6.93,1.2,0.58,132,0.31,127140000
10.57,21.44,Asia-Pacific Equity,3,2,287.31,10.14,2.81,-4.98,2.67,0.43,109,0.4,810340000
23.39,23.12,Switzerland Equity,2,2,325.35,15.2,3.19,8.46,1.78,0.06,39,0.24,1862540000
23.39,23.12,Switzerland Equity,2,2,325.35,15.2,3.19,8.46,1.78,0.06,39,0.25,1862540000
25.13,22.78,US Large-Cap Blend Equity,4,3,293.68,13.33,1.91,10.8,7.01,0.38,617,0.14,629750000
20.67,22.78,Global Large-Cap Blend Equity,4,3,290.32,11.52,2.32,4.78,4.36,0.21,1589,0.31,962660000
20.89,20.02,Global Large-Cap Blend Equity,5,2,279.66,13.36,2.27,4.45,5.38,0.62,387,0.22,3226780000
15.62,24.49,Europe Small-Cap Equity,2,4,54.21,4.94,4.35,-1.18,4.93,0,158,0.38,31160000
9.65,31,Global Emerging Markets Small/Mid-Cap Equity,3,3,107.03,5.39,3.3,0.44,-0.36,0.68,1577,0.74,237150000
9.22,20.34,France Equity,4,3,298.9,9.28,2.24,4.06,0.55,0,40,0.2005,126110000
7.9,20.56,Germany Equity,3,2,296.66,6.5,2.92,-8.8,-0.64,0,30,0.09088,551020000
7.9,20.56,Germany Equity,3,3,296.65,6.5,2.92,-8.79,-0.64,0,30,0.09211,3613700000
12.51,20.17,Eurozone Large-Cap Equity,3,2,265.2,4.88,4.45,-1.02,-0.75,0,47,0.32554,202780000
10.54,19.95,Eurozone Large-Cap Equity,3,4,312.44,9.11,2.75,-2.63,2.51,0,50,0.10159,5958810000
12.18,24.06,UK Large-Cap Equity,3,1,266.56,7.49,4.08,-6.67,1.81,0.04,99,0.09316,61540000
13.04,29.07,China Equity,2,3,402.28,6.99,3.47,10.89,8.67,0,50,0.612,122580000
9.38,22.56,Italy Equity,3,4,238.14,5.97,2.91,-1.58,0.22,0,40,0.39674,35510000
8.93,24.11,Japan Large-Cap Equity,3,2,276.38,8.56,2.69,-4.51,4.12,0.38,395,0.21768,22267810000
14.72,25.84,Asia ex-Japan Equity,3,3,365.53,9.35,2.58,3.82,8.21,0,599,0.65,587170000
20.15,23.24,Global Large-Cap Blend Equity,4,3,298.08,11.05,2.4,4.74,4.7,0,1728,0.40045,496790000
8.82,30.76,Brazil Equity,3,4,324.45,4.3,3.82,10.01,5.59,0,56,0.65,220310000
11.45,24.19,Canada Equity,2,5,278.38,9.7,3.75,12.44,6.85,0,86,0.39742,264829999
16.97,27.34,China Equity,3,4,409.83,11.77,1.77,12.45,10.84,0,699,0.65585,2099460000
10.34,29.77,Latin America Equity,3,3,303.72,5.02,3.89,10.34,4.77,0,84,0.70728,54650000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,912,0.49876,1116360000
10.47,20.73,Eurozone Large-Cap Equity,4,3,276.17,8.04,2.53,-1.07,0.7,0,246,0.13605,2136889999
14.32,21.9,Europe Large-Cap Blend Equity,4,3,280.98,8.76,2.93,-1.27,1.14,0,433,0.26594,3501570000
18.48,29.41,Indonesia Equity,4,4,283.43,5.7,4.11,6.05,8.14,0,41,0.83709,112420000
8.84,23.95,Japan Large-Cap Equity,3,2,286.69,8.39,2.74,-4.02,3.52,0,320,0.32131,2.68E+11
11.02,23.23,Pacific ex-Japan Equity,3,3,306.21,9.25,4.67,-6.94,1.21,0,132,0.45657,568810000
20.37,33.44,Russia Equity,2,4,253.7,5.82,11.85,18.24,11.22,0,-31,0.96837,102720000
25.38,22.79,US Large-Cap Blend Equity,4,3,295.32,13.5,1.87,10.81,6.99,-0.01,618,0.07097,7521400000
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,401,0.3,3154080000
21.04,22.8,Global Large-Cap Blend Equity,4,3,291.99,11.72,2.27,4.92,4.36,0.25,1608,0.19555,6473620000
21.04,22.8,Global Large-Cap Blend Equity,4,3,291.99,11.72,2.27,4.92,4.36,0.25,1608,0.18976,6473620000
21.02,22.78,Global Large-Cap Blend Equity,5,3,291.88,11.7,2.27,4.5,4.15,0,911,0.45,3184390000
8.87,22.92,Japan Large-Cap Equity,4,3,288.81,9.86,2.06,1.34,3.59,0,225,0.11012,1.96E+11
-1.56,29.32,US Small-Cap Equity,3,3,28.78,7.63,1.67,2.73,3.63,0,2009,0.30422,1227330000
11.6,24.05,US Mid-Cap Equity,3,2,154.69,10.95,1.87,8.3,6.07,0,816,0.35033,100760000
26.87,22.54,US Large-Cap Blend Equity,5,3,301.04,13.13,1.95,11.26,6.92,0,427,0.15,7102130000
16.17,23.51,US Large-Cap Blend Equity,2,4,190.94,9.4,2.54,7.62,5.56,0,506,0.25105,1372160000
7.35,23.09,Sector Equity Infrastructure,3,4,228.28,8.13,4.13,0.51,-1.72,0,-81,0.6,188290000
20.01,21.49,Switzerland Equity,2,5,288.14,14.6,3.33,6.81,1.39,0,30,0.3145,73860000
24.04,23.14,Switzerland Equity,3,3,340.16,15.38,3.12,8.13,1.48,0,20,0.33495,1276960000
11.87,28.23,Sector Equity Industrial Materials,2,5,249.58,6.47,4.88,5.86,4.84,0,36,0.3,318240000
7.9,20.56,Germany Equity,4,2,296.65,6.5,2.92,-8.81,-0.65,0,30,0.14963,1045780000
10.54,19.95,Eurozone Large-Cap Equity,3,3,312.44,9.11,2.75,-2.63,2.51,0,50,0.15192,800950000
10.51,19.95,Eurozone Large-Cap Equity,3,4,312.28,9.1,2.76,-2.63,2.51,0,50,0.05,143810000
12.13,24.06,UK Large-Cap Equity,3,2,266.37,7.47,4.08,-6.65,1.81,-0.23,100,0.07,337040000
11.46,24.13,Canada Equity,2,4,278.46,9.7,3.76,12.43,6.85,0.59,87,0.35,28490000
16.26,27.33,China Equity,3,3,402.67,10.75,1.95,12.4,10.82,0,713,0.6,700100000
14.68,27.1,Global Emerging Markets Equity,3,3,345.2,8.28,3.05,2.82,7.6,-0.08,1026,0.15,420700000
14.3,21.9,Europe Large-Cap Blend Equity,4,3,280.82,8.74,2.93,-1.25,1.14,0,437,0.1,162510000
8.84,23.95,Japan Large-Cap Equity,3,2,286.66,8.45,2.74,-4.03,3.55,0.01,318,0.19,222140000
17.77,30.02,Turkey Equity,2,3,129.76,3.71,1.4,-7.33,22.52,0,15,0.6,9710000
25.3,22.79,US Large-Cap Blend Equity,5,3,294.33,13.38,1.89,10.87,6.93,0.04,615,0.3,31490000
20.87,22.72,Global Large-Cap Blend Equity,4,3,292.53,11.57,2.33,4.93,4.58,0.05,1402,0.15,2029310000
26.73,22.54,US Large-Cap Blend Equity,5,2,300.14,13.12,1.96,11.26,6.9,0.06,501,0.09,3546080000
26.87,22.54,US Large-Cap Blend Equity,4,2,301.04,13.13,1.95,11.26,6.92,0,517,0.15,8695340000
20.21,30.92,China Equity,3,3,388.84,14.33,2.75,11.86,10,0,50,0.65005,12270000
16.42,24.92,US Large-Cap Blend Equity,5,4,229.17,10.58,2.77,10.86,7.27,0.18,48,0.49,259740000
14.57,21.93,Europe Large-Cap Blend Equity,3,4,281.21,7.98,3.22,-4.12,4.3,0,101,0.32,92480000
7.6,25.25,Japan Large-Cap Equity,2,3,272.32,7.24,3.71,-9.93,4.27,0,446,0.4,38240000
14.57,21.93,Europe Large-Cap Blend Equity,3,4,281.21,7.98,3.22,-4.12,4.3,0,101,0.32,92310000
10.45,20.49,Eurozone Large-Cap Equity,4,3,272.22,8.42,2.48,-1.42,0.42,0,296,0.07,480470000
